instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland7,44,1550.0,MDD,1,42,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.4208,0
airland7,44,1550.0,MDD,2,59,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5453,0
airland7,44,1550.0,MDD,3,76,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.3776,0
airland7,44,1550.0,MDD,4,93,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5067,0
airland7,44,1550.0,MDD,5,110,1550.0,1550.0,1550.0,1550.0,0.0,0.0,0.0,0.5394,0
airland7,44,1550.0,MPDS,1,42,inf,,inf,,,0.0,0.0,0.0744,240
airland7,44,1550.0,MPDS,2,59,inf,,inf,,,0.0,0.0,0.0742,240
airland7,44,1550.0,MPDS,3,76,inf,,inf,,,0.0,0.0,0.0744,240
airland7,44,1550.0,MPDS,4,93,inf,,inf,,,0.0,0.0,0.0754,240
airland7,44,1550.0,MPDS,5,110,inf,,inf,,,0.0,0.0,0.0742,240
airland7,44,1550.0,ATC_k2,1,42,inf,,inf,,,0.0,0.0,0.1003,240
airland7,44,1550.0,ATC_k2,2,59,inf,,inf,,,0.0,0.0,0.1006,240
airland7,44,1550.0,ATC_k2,3,76,inf,,inf,,,0.0,0.0,0.0978,240
airland7,44,1550.0,ATC_k2,4,93,inf,,inf,,,0.0,0.0,0.1005,240
airland7,44,1550.0,ATC_k2,5,110,inf,,inf,,,0.0,0.0,0.0979,240
airland7,44,1550.0,ATC_k4,1,42,inf,,inf,,,0.0,0.0,0.1343,240
airland7,44,1550.0,ATC_k4,2,59,inf,,inf,,,0.0,0.0,0.1348,240
airland7,44,1550.0,ATC_k4,3,76,inf,,inf,,,0.0,0.0,0.1346,240
airland7,44,1550.0,ATC_k4,4,93,inf,,inf,,,0.0,0.0,0.1351,240
airland7,44,1550.0,ATC_k4,5,110,inf,,inf,,,0.0,0.0,0.1342,240
airland8,50,1950.0,EDD,1,42,2450.0,2480.0,1870.0,2020.0,3.5897,6.7325,7.1849,33.3137,73
airland8,50,1950.0,EDD,2,59,2450.0,2480.0,1860.0,1950.0,0.0,8.6624,14.1573,40.2964,137
airland8,50,1950.0,EDD,3,76,2450.0,2480.0,1860.0,1950.0,0.0,18.4605,18.4564,44.6363,177
airland8,50,1950.0,EDD,4,93,2450.0,2480.0,1860.0,1950.0,0.0,10.1741,18.7661,44.7643,179
airland8,50,1950.0,EDD,5,110,2450.0,2480.0,1860.0,1950.0,0.0,33.9489,33.9448,42.6574,321
airland8,50,1950.0,ERD,1,42,18790.0,18915.0,1860.0,1950.0,0.0,13.5024,23.3898,40.8042,220
airland8,50,1950.0,ERD,2,59,18790.0,18915.0,1875.0,1950.0,0.0,8.3393,8.3355,34.5985,82
airland8,50,1950.0,ERD,3,76,18790.0,18915.0,1860.0,1950.0,0.0,19.9046,19.9007,46.0664,188
airland8,50,1950.0,ERD,4,93,18790.0,18915.0,1860.0,1950.0,0.0,8.972,8.9683,35.0909,88
airland8,50,1950.0,ERD,5,110,18790.0,18915.0,1860.0,1950.0,0.0,8.7077,8.7038,34.7995,85
airland8,50,1950.0,MDD,1,42,2450.0,2480.0,1870.0,2020.0,3.5897,6.7412,7.1928,33.37,73
airland8,50,1950.0,MDD,2,59,2450.0,2480.0,1860.0,1950.0,0.0,8.6462,14.1349,40.3248,137
airland8,50,1950.0,MDD,3,76,2450.0,2480.0,1860.0,1950.0,0.0,18.4723,18.4682,44.6416,177
airland8,50,1950.0,MDD,4,93,2450.0,2480.0,1860.0,1950.0,0.0,10.1675,18.751,44.7951,179
airland8,50,1950.0,MDD,5,110,2450.0,2480.0,1860.0,1950.0,0.0,33.9164,33.9122,42.6387,321
airland8,50,1950.0,MPDS,1,42,inf,,1985.0,2160.0,10.7692,12.4051,12.401,39.1102,113
airland8,50,1950.0,MPDS,2,59,inf,,1985.0,2150.0,10.2564,7.7941,9.6113,36.5374,86
airland8,50,1950.0,MPDS,3,76,inf,,1990.0,2080.0,6.6667,24.9355,24.9312,51.5773,225
airland8,50,1950.0,MPDS,4,93,inf,,1875.0,1950.0,0.0,10.745,10.7421,37.2912,92
airland8,50,1950.0,MPDS,5,110,inf,,1945.0,2090.0,7.1795,11.6686,11.7354,38.2764,114
airland8,50,1950.0,ATC_k2,1,42,4050.0,4070.0,1870.0,2020.0,3.5897,6.8364,7.2975,33.3825,73
airland8,50,1950.0,ATC_k2,2,59,4050.0,4070.0,1860.0,1950.0,0.0,12.5592,13.6374,39.8867,132
airland8,50,1950.0,ATC_k2,3,76,4050.0,4070.0,1860.0,1950.0,0.0,9.981,9.977,36.0662,98
airland8,50,1950.0,ATC_k2,4,93,4050.0,4070.0,1860.0,1950.0,0.0,10.2697,18.8734,44.9432,179
airland8,50,1950.0,ATC_k2,5,110,4050.0,4070.0,1860.0,1950.0,0.0,9.0733,12.0835,38.1485,117
airland8,50,1950.0,ATC_k4,1,42,6495.0,6525.0,1860.0,1950.0,0.0,10.6939,27.8878,45.3369,263
airland8,50,1950.0,ATC_k4,2,59,6495.0,6525.0,1870.0,1950.0,0.0,14.3541,15.7993,41.914,148
airland8,50,1950.0,ATC_k4,3,76,6495.0,6525.0,1860.0,1950.0,0.0,11.3686,12.0592,38.1884,117
airland8,50,1950.0,ATC_k4,4,93,6495.0,6525.0,1860.0,1950.0,0.0,10.2608,18.8631,44.9783,179
